SOURCE_ID,ra,dec,parallax,pmra,pmdec,phot_g_mean_mag,bp_rp,absolute_magnitude
5817707067009613184,254.3470965839812,-63.59923746905027,2.323356437908137,-2.1791033105560853,-12.88809551580476,20.702923,1.1074257,28.8723436098789
5817707067009617280,254.3502169644751,-63.604467199950925,1.976680274678093,-0.2541579874685962,-1.8174387058835613,20.520472,2.153061,29.040789430587388
5817707067019800064,254.34845683106917,-63.59950048765361,0.4694273006384577,-1.2048890494130655,-8.283612580612038,15.59906,1.066824,27.241218341570864
5817707067019804928,254.32844986783834,-63.59989551051334,1.0322447168236624,-2.7657584974403213,-9.404050526147824,16.043158,1.1954575,25.97424423365938
4265039246667767168,283.93060070652507,-1.4199513571062996,1.3468912057584337,-3.2906923332066174,-4.486473709934726,20.07124,2.2208233,29.42457688497714
4265039246667776128,283.9249679363675,-1.4237491358088015,0.638966226840812,-3.358124968864991,-5.219294494809435,19.879475,2.0296345,30.852085121278176
4265039246667778048,283.9294890772813,-1.4197226258509281,0.9406175641403215,-1.207377795223334,-4.122254432722128,20.172894,1.6413136,30.305828103863178
4265039246667780096,283.9288077233776,-1.4200651428903845,1.1544146078292823,2.8725919858237674,-3.795499423917237,20.53406,2.0528507,30.222250456373708
4265039246667786624,283.9288453767653,-1.4193451570383202,1.0851528002158304,-1.8467146292658603,1.7304166047116034,19.506533,2.272791,29.32907819188539
4265039246667787904,283.9239214159735,-1.4234026698874183,0.2729448405415524,-0.5413723595347728,-6.388160109203764,20.090132,1.9321957,32.909757313246466
4265039246674721920,283.93122909858596,-1.4292443566849107,1.5608621233931694,-4.232697957945915,-6.890857095326779,20.168734,2.7826176,29.201910887044182
4265002717936028672,283.40576636875755,-1.7871389790687415,0.46350343846204584,-0.46542843536808576,-5.9308151264938545,18.536604,2.4783936,30.206339126260925
4265002717936042880,283.39999021776475,-1.7844736529194827,0.5579748179999611,-2.133392411000117,-3.727942636387279,18.75335,2.9792137,30.0202763081712
4265002717936043648,283.4055405567578,-1.784186123775437,0.43370489113123484,-2.249078637189195,-2.804706017814698,18.163279,2.2815208,29.977306979928127
4265002717936043776,283.4044802702719,-1.7848939168526752,0.13016904724906952,-1.505559055831369,-3.2109534717837835,18.830383,2.4299564,33.25784467021384
4265002717936043904,283.40249107368874,-1.7844042019346897,0.11039074632193994,-1.5107247734565157,-5.804653644763301,17.910963,4.359812,32.69629971096937
4265002717936055040,283.4111930928068,-1.7814721411331036,0.6354399057812288,-8.111843040489072,-9.968675529259341,19.329329,2.6809692,30.313956111251983
4265002717936055168,283.4078191999692,-1.781650715997885,0.20635284420050626,-1.9300012657552257,-6.2606032134343845,19.283508,2.4975681,32.71045600469051
4265002717936061184,283.40219836546623,-1.7802233523394346,0.7734945519989159,0.6314171396634426,-0.4357141494975752,18.090412,2.2853146,28.64812584412509
4265002717936061312,283.39907030519237,-1.7802654551676749,0.4179949122520988,-2.6469128455822304,-4.228662716631687,18.160114,2.4207916,30.05425931000856
4265002717936069888,283.40379743540683,-1.778362157863829,1.0443695913050042,-2.9016840270068633,-0.6908087127359187,18.71463,2.5611916,28.620359036594508
4265002717936077184,283.404708170572,-1.7754721167384862,0.3499880520709111,-2.8504525014100093,-4.710586427243635,19.448822,2.8373966,31.728555928422175
5817554303610624000,253.67047825595404,-64.39213600463633,0.894062117006014,-9.904838616582136,-18.347094351489798,20.36894,2.4975204,30.612101886171374
5817554303610850816,253.6800925956004,-64.38305280471336,2.0168865181099345,-3.291503547026431,-4.843140043922893,20.440727,1.1536598,28.917319919186664
5817554303610877824,253.67684650000706,-64.39517627274476,1.0718373369550638,-2.8034797763184436,-1.8413309906794537,20.916527,1.299427,30.7658823873468
5817554303626623744,253.68240218926854,-64.38435160545858,0.31242528644378215,-2.453280130108207,-0.9186310410572573,16.70933,1.0029144,29.2355987217366
5817554303626625152,253.66197933137477,-64.38842965965924,0.27404363352900235,-2.317988677012365,-5.344572030172863,18.049307,1.2745743,30.860208283649648
5817554303626627328,253.66833093982413,-64.38369896071406,0.3894748990174029,1.7605562613010066,-2.5974095528979313,17.858755,1.1379604,29.906357744777313
5817554303626631552,253.6573530644963,-64.37758627674813,0.35055236906038895,-2.9376507864053387,-5.820411805609151,17.92888,1.0886593,30.20511615925843
5901273661569018880,223.46128328696335,-50.9781364652917,0.808908749079422,-15.559914843741378,-16.472884805116784,20.237005,2.553337,30.697507570118972
5901273661569019392,223.4735216297055,-50.982966946236665,0.7765133247260853,-4.926945545082841,-3.837077814810365,20.300491,1.4551411,30.849746770577
5901273661569020160,223.46384025536207,-50.9841842956695,1.7862016268558671,-8.859027922863985,-4.107146405869679,20.615345,1.0644646,29.355692598311038
5901273661591976192,223.47258199873693,-50.98568650618413,0.85740759486446,1.1473883490127337,-5.34386400752576,19.832724,1.9757671,30.16678698682458
5901273661591981952,223.47249633500113,-50.974715409431255,1.9330625420629237,-11.680521386371328,-9.229777568566933,17.423908,2.16687,25.992678706817408
5901273661591983872,223.46789880487037,-50.972976080571186,0.17947491696228818,-6.840772608755538,-2.8435132646702925,19.190292,1.6118927,32.92027355304829
5901166081233327872,222.76741092310053,-51.3485580385775,0.27902928754155726,-3.8786238102966863,-4.036364403701117,19.009632,1.5103855,31.7813831596375
5901166081233329664,222.76489101863325,-51.34745588903884,0.49784292380288536,-1.178062557268468,-0.6591114238825305,20.260576,1.64044,31.775114555316737
5901166081233345024,222.7620455812439,-51.34253295914634,0.5213588523083456,-5.659801862409977,-0.43583219134338497,20.521187,1.2199306,31.9355030688342
5901166081233350016,222.76444096649115,-51.34076566647896,4.035218275506507,-6.30488637766722,-2.268693968387363,20.638182,1.7663269,27.608846527314036
5901166081251580160,222.76510831872412,-51.35942665526611,0.3398027017860191,-6.60211332309491,-1.4424599532633051,16.036728,1.8017626,28.380593767068362
5901166081251580544,222.75462935696734,-51.35572527800012,0.6973603423252923,-9.500155116042203,-5.5961549434537865,14.665545,1.1902151,25.44825923272561
