HIP,MAGNITUDE,RA_DEGREES,DEC_DEGREES,PARALLAX_MAS,RA_MAS_PER_YEAR,DEC_MAS_PER_YEAR,DISTANCE_PARSECS,ABS_MAG,COLOR_K_R,COLOR_K_G,COLOR_K_B,Dx,Dy,Dz,GLON,GLAT,RA_HOURS,EPOCH_YEAR,stereo_X,stereo_Y
1074.0,5.78,3.3134054056205287,-84.99562668202265,0.0,10.97,17.4,298.5075,-1.595,1.0,0.343,0.063,141.13663654401273,-209.95430793226504,-158.44988470168377,303.91,-32.06,0.22205555553333334,2000.0,6.0,0.4415287998,3.0031700058
1170.0,4.44,3.663486749321976,-18.935478217270955,2.9e-05,-27.15,-73.78,137.1742,-1.246,1.0,0.359,0.074,7.190183086367883,27.04168732637175,-134.29002032678102,75.11,-78.23,0.24400000000000002,2000.0,6.0,1.4043458101,0.1469189655
1193.0,6.25,3.735637131668483,22.280027151874968,0.0,45.06,-11.0,140.8451,0.506,0.789,0.8160000000000001,1.0,-40.38979272447745,100.37151125069565,-90.17519928968954,111.92,-39.81,0.24891666666666667,2000.0,2.0,0.744224279,-0.2600298846
1196.0,6.02,3.7433056557331668,8.821255326204463,1.7e-05,97.67,-24.96,77.7605,1.566,0.602,0.6930000000000001,1.0,-14.35905669742979,44.56284039034817,-62.085957408695485,107.86,-52.98,0.24966666666666668,2000.0,0.0,0.9353056717,-0.1827407652
1191.0,5.77,3.726639980270761,-9.571236547037918,0.0,22.64,-8.45,103.8422,0.6880000000000001,0.352,0.496,1.0,-3.066299009690357,34.63023944321428,-97.84961332232652,95.06,-70.44,0.2484722222,2000.0,0.0,1.2346271669,0.0001131663
1208.0,6.34,3.7772901148086078,31.535860675067763,0.0,33.23,-5.37,286.533,-0.9460000000000001,1.0,0.715,0.502,-99.93511130355995,225.1979840147029,-146.28739389796613,113.93,-30.7,0.2519444444666667,2000.0,5.0,0.6242746848,-0.2946497056
1215.0,6.35,3.793552150258364,27.278390635476303,0.0,14.69,-15.37,135.1351,0.6960000000000001,0.789,0.8160000000000001,1.0,-43.483234931831355,101.94501761556488,-77.31698982264717,113.1,-34.9,0.25294444446666664,2000.0,2.0,0.6782511601,-0.279800959
1195.0,6.17,3.7442942196657327,-34.90147590983434,0.0,76.54,-11.99,194.5525,-0.275,1.0,0.666,0.419,36.02041909449671,-9.114567259810627,-190.97154062365735,345.8,-78.99,0.2495,2000.0,5.0,1.6944409746,0.5423449082
1296.0,6.35,4.059637954786666,76.95190648222949,1.3e-05,19.77,-3.13,192.3077,-0.07,0.355,0.499,1.0,-95.70404138216577,159.97315605882122,47.23957327274177,120.89,14.22,0.2705555555333333,2000.0,0.0,0.1271044907,-0.3436252335
1302.0,6.12,4.086204858158567,43.59452533203805,0.0,35.61,-23.43,106.4963,0.983,0.756,0.795,1.0,-44.55231458202421,90.42271296977091,-34.35529301666305,116.23,-18.82,0.27266666666666667,2000.0,2.0,0.4794211601,-0.3220493773
1288.0,5.66,4.035324984150691,-31.446031777065087,0.0,117.87,-27.11,152.207,-0.252,1.0,0.64,0.378,23.329698170170488,0.6231335927635965,-150.40713991301845,1.53,-81.18,0.26913888886666665,2000.0,5.0,1.6265140227,0.4423258775
1268.0,6.49,3.969626675855494,-75.91038939797629,0.0,-17.82,-2.41,189.3939,0.10300000000000001,1.0,0.881,0.848,83.56671852605896,-115.91074786557314,-124.30346512161265,305.79,-41.02,0.2653333333333333,2000.0,3.0,1.1728833572,2.7078833355
1319.0,6.12,4.144253808075945,8.237006801933662,0.0,-28.01,-14.69,125.0,0.635,1.0,0.881,0.848,-23.24450972385986,70.36728935824371,-100.66348571389024,108.28,-53.64,0.2761388888666667,2000.0,3.0,0.9412228089,-0.1725948989
1354.0,5.74,4.229104062217033,61.536417637949164,0.0,-6.0,-3.46,190.1141,-0.655,1.0,0.881,0.848,-91.65969592377711,166.52177590081186,-3.5170033850584885,118.83,-1.06,0.28252777780000005,2000.0,3.0,0.2834169963,-0.3424648448
1331.0,6.5,4.17927315554428,-20.213146839905416,0.0,-6.96,-1.53,182.8154,0.19,0.373,0.515,1.0,10.25200611279718,31.7977368672957,-179.73667065443655,72.13,-79.47,0.27847222219999995,2000.0,0.0,1.4186031369,0.1800044906
1372.0,5.86,4.284460952021163,47.94687977399017,0.0,4.05,-3.9699999999999998,343.6426,-1.8210000000000002,0.355,0.499,1.0,-151.07242881383993,296.36845067369933,-86.21542340160683,117.01,-14.53,0.28586111113333335,2000.0,0.0,0.4299110693,-0.3280886237
1366.0,4.61,4.273721599703578,38.68357953606614,2.2e-05,-50.01,-17.9,94.697,-0.272,0.756,0.795,1.0,-37.493665671728344,78.18526682857393,-38.06324860598946,115.62,-23.7,0.2848611111333333,2000.0,2.0,0.5363213453,-0.3097323554
