HIP,RA_Numpy,DEC_Numpy,RA_Astropy,DEC_Astropy,RA_Direct,DEC_Direct,RA_Percent_Diff_Numpy_Astropy,DEC_Percent_Diff_Numpy_Astropy,RA_Percent_Diff_Numpy_Direct,DEC_Percent_Diff_Numpy_Direct
7535.0,24.2768,12.1379,24.2768,12.138,24.2746,12.1417,0.0001,0.0007,0.0091,0.0307
7607.0,24.4915,48.6287,24.4915,48.6287,24.4983,48.6283,0.0001,0.0002,0.0277,0.0007
7580.0,24.4059,-9.404,24.4058,-9.4039,24.4071,-9.4039,0.0001,-0.0009,0.005,-0.0011
7271.0,23.4154,-78.4984,23.4154,-78.4983,23.4133,-78.5047,0.0003,-0.0001,0.009,-0.008
7506.0,24.1834,-58.2733,24.1834,-58.2732,24.1867,-58.2708,0.0002,-0.0001,0.0134,-0.0042
7719.0,24.8431,44.3863,24.8431,44.3864,24.8375,44.3861,0.0001,0.0002,0.0226,0.0004
7786.0,25.0478,53.8661,25.0478,53.8661,25.0546,53.8683,0.0001,0.0002,0.027,0.0042
7643.0,24.611,-36.5254,24.6109,-36.5253,24.6142,-36.5283,0.0002,-0.0002,0.013,-0.0081
7588.0,24.431,-57.2385,24.4309,-57.2384,24.4288,-57.2367,0.0002,-0.0001,0.0091,-0.0032
7679.0,24.7087,-21.278,24.7087,-21.2779,24.7158,-21.2753,0.0002,-0.0004,0.0287,-0.0128
7676.0,24.7034,-25.0233,24.7034,-25.0233,24.7083,-25.0219,0.0002,-0.0003,0.0199,-0.0056
7740.0,24.9163,16.4068,24.9163,16.4069,24.92,16.4058,0.0001,0.0005,0.0148,0.0062
7825.0,25.1586,43.3002,25.1586,43.3003,25.1658,43.2978,0.0001,0.0002,0.0286,0.0056
7818.0,25.1401,40.577,25.14,40.5771,25.145,40.5769,0.0001,0.0002,0.0196,0.0002
7965.0,25.5854,68.0412,25.5854,68.0412,25.5854,68.0431,0.0,0.0001,0.0001,0.0028
7673.0,24.7011,-53.4352,24.7011,-53.4351,24.7008,-53.4389,0.0002,-0.0002,0.0012,-0.0069
8016.0,25.7185,70.6232,25.7185,70.6233,25.7329,70.6225,0.0,0.0001,0.0559,0.001
7939.0,25.5099,61.0421,25.5098,61.0422,25.5125,61.0383,0.0,0.0001,0.0104,0.0062
7963.0,25.5665,58.63,25.5665,58.6301,25.5742,58.6278,0.0,0.0001,0.0301,0.0038
7918.0,25.427,42.6162,25.427,42.6163,25.4467,42.6136,0.0001,0.0002,0.0772,0.006
7874.0,25.3267,25.7451,25.3266,25.7452,25.3267,25.7458,0.0001,0.0003,0.0,0.0027
7906.0,25.412,30.0447,25.412,30.0448,25.4133,30.0472,0.0001,0.0003,0.0053,0.0083
7751.0,24.9455,-56.1994,24.9455,-56.1994,24.9475,-56.1981,0.0002,-0.0001,0.0079,-0.0025
,24.9455,-56.1994,24.9455,-56.1994,24.9492,-56.1947,0.0002,-0.0001,0.0146,-0.0084
8020.0,25.7508,61.4166,25.7508,61.4167,25.7433,61.4217,0.0,0.0001,0.0288,0.0082
7884.0,25.3578,5.4834,25.3578,5.4834,25.3579,5.4875,0.0001,0.0015,0.0004,0.0756
7943.0,25.5108,35.2463,25.5108,35.2464,25.5146,35.2456,0.0001,0.0002,0.0148,0.0021
8046.0,25.8299,60.5516,25.8299,60.5517,25.8321,60.5511,0.0,0.0001,0.0083,0.0009
7916.0,25.4359,-11.319,25.4359,-11.3189,25.4362,-11.3247,0.0001,-0.0007,0.0013,-0.0506
7981.0,25.6291,20.2745,25.6291,20.2746,25.6242,20.2686,0.0001,0.0004,0.0194,0.0291
7886.0,25.3598,-38.1332,25.3597,-38.1331,25.3638,-38.1331,0.0002,-0.0002,0.0157,-0.0003
8044.0,25.8173,45.3267,25.8173,45.3267,25.8188,45.3222,0.0001,0.0002,0.0055,0.0098
8068.0,25.9081,50.6896,25.9081,50.6897,25.915,50.6886,0.0001,0.0002,0.0267,0.002
7955.0,25.5335,-32.3263,25.5335,-32.3263,25.5358,-32.3269,0.0002,-0.0003,0.0091,-0.0019
7941.0,25.5092,-36.8293,25.5092,-36.8293,25.5125,-36.8325,0.0002,-0.0002,0.0129,-0.0086
8115.0,26.0677,57.5348,26.0677,57.5349,26.0746,57.5364,0.0,0.0001,0.0264,0.0027
7999.0,25.6826,-3.6879,25.6826,-3.6878,25.6812,-3.6903,0.0001,-0.0022,0.0054,-0.0655
7911.0,25.4264,-50.0402,25.4264,-50.0401,25.4212,-50.0389,0.0002,-0.0002,0.0203,-0.0026
8148.0,26.1972,57.0911,26.1972,57.0911,26.1921,57.0892,0.0,0.0001,0.0195,0.0033
8086.0,25.962,32.194,25.962,32.1941,25.9583,32.1917,0.0001,0.0003,0.0141,0.0074
8127.0,26.1105,46.1419,26.1105,46.1419,26.1104,46.1397,0.0001,0.0002,0.0004,0.0046
7921.0,25.4518,-60.7934,25.4517,-60.7934,25.45,-60.7894,0.0002,-0.0001,0.0071,-0.0066
7978.0,25.6199,-53.7409,25.6198,-53.7408,25.6221,-53.7406,0.0002,-0.0002,0.0086,-0.0006
8094.0,25.9823,-4.7617,25.9823,-4.7616,25.9783,-4.7656,0.0001,-0.0017,0.0155,-0.0818
8159.0,26.2326,20.0866,26.2325,20.0867,26.2325,20.0831,0.0001,0.0004,0.0003,0.0176
8102.0,26.0429,-15.9488,26.0428,-15.9488,26.0171,-15.9375,0.0001,-0.0005,0.099,-0.0711
8198.0,26.3496,9.1561,26.3495,9.1562,26.3483,9.1578,0.0001,0.0009,0.0047,0.0178
8362.0,26.9217,63.8582,26.9217,63.8583,26.9367,63.8522,0.0,0.0001,0.0555,0.0094
7601.0,24.4724,-82.9742,24.4723,-82.9741,24.4817,-82.975,0.0005,-0.0001,0.0377,-0.001
8209.0,26.4107,-25.0506,26.4107,-25.0505,26.4117,-25.0525,0.0001,-0.0003,0.0035,-0.0077
8271.0,26.6483,17.4166,26.6483,17.4167,26.6471,17.4131,0.0001,0.0005,0.0045,0.0203
7879.0,25.3218,-79.152,25.3217,-79.1519,25.3387,-79.1483,0.0004,-0.0001,0.0667,-0.0047
8233.0,26.5069,-27.3482,26.5069,-27.3481,26.5042,-27.3492,0.0002,-0.0003,0.0104,-0.0035
8370.0,26.9504,46.2269,26.9504,46.227,26.95,46.2297,0.0001,0.0002,0.0016,0.0061
8240.0,26.5235,-50.8118,26.5235,-50.8117,26.5242,-50.8164,0.0002,-0.0002,0.0024,-0.009
8241.0,26.5207,-53.5198,26.5207,-53.5197,26.5262,-53.5219,0.0002,-0.0002,0.0209,-0.004
8423.0,27.1618,37.955,27.1618,37.9551,27.1621,37.9528,0.0001,0.0002,0.0009,0.0059
8387.0,27.0445,16.9531,27.0445,16.9532,27.0454,16.9556,0.0001,0.0005,0.0034,0.0146
8433.0,27.1732,32.6819,27.1732,32.682,27.1733,32.6903,0.0001,0.0003,0.0003,0.0256
8320.0,26.8222,-41.7646,26.8222,-41.7645,26.82,-41.76,0.0002,-0.0002,0.0083,-0.0109
7568.0,24.3608,-84.7679,24.3607,-84.7678,24.3667,-84.7697,0.0006,-0.0001,0.024,-0.0022
8475.0,27.3163,47.8938,27.3163,47.8939,27.3154,47.8969,0.0001,0.0002,0.0033,0.0065
8404.0,27.1081,3.6905,27.108,3.6906,27.1083,3.6856,0.0001,0.0022,0.0009,0.1342
8369.0,26.944,-37.1572,26.944,-37.1571,26.9492,-37.1597,0.0002,-0.0002,0.019,-0.0068
8544.0,27.5363,22.2733,27.5363,22.2734,27.5354,22.2753,0.0001,0.0004,0.0034,0.009
8497.0,27.3948,-10.6872,27.3948,-10.6871,27.3962,-10.6864,0.0001,-0.0008,0.0053,-0.0076
8480.0,27.3273,-31.0714,27.3272,-31.0713,27.3312,-31.0728,0.0002,-0.0003,0.0146,-0.0044
